"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","georeference"
"2021-12-24T06:00:00.000","subway","223","Lexington Av/63 St (F,Q)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","11.0","0.0","40.76463","-73.96611","POINT (-73.96611 40.76463)"
"2021-12-24T00:00:00.000","subway","327","Chambers St (1,2,3)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","9.0","0.0","40.715477","-74.00927","POINT (-74.00927 40.715477)"
"2021-12-24T10:00:00.000","subway","113","Knickerbocker Av (M)","Brooklyn","metrocard","Metrocard - Fair Fare","3.0","0.0","40.698666","-73.91971","POINT (-73.91971 40.698666)"
"2021-12-24T13:00:00.000","subway","358","Newkirk Av-Little Haiti (2,5)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","40.0","0.0","40.63997","-73.94841","POINT (-73.94841 40.63997)"
"2021-12-24T20:00:00.000","subway","368","Morrison Av-Soundview (6)","Bronx","omny","OMNY - Full Fare","4.0","0.0","40.82952","-73.87452","POINT (-73.87452 40.82952)"
"2021-12-24T09:00:00.000","subway","278","Jamaica Center-Parsons/Archer (E,J,Z)","Queens","metrocard","Metrocard - Students","23.0","10.0","40.70215","-73.80111","POINT (-73.80111 40.70215)"
"2021-12-24T11:00:00.000","subway","158","86 St (C,B)","Manhattan","metrocard","Metrocard - Full Fare","41.0","2.0","40.78587","-73.96892","POINT (-73.96892 40.78587)"
"2021-12-24T13:00:00.000","subway","269","Northern Blvd (M,R)","Queens","metrocard","Metrocard - Students","7.0","2.0","40.752884","-73.906006","POINT (-73.906006 40.752884)"
"2021-12-24T08:00:00.000","subway","222","Roosevelt Island (F)","Manhattan","metrocard","Metrocard - Seniors & Disability","8.0","0.0","40.759144","-73.95326","POINT (-73.95326 40.759144)"
"2021-12-24T17:00:00.000","subway","351","Van Siclen Av (3)","Brooklyn","metrocard","Metrocard - Fair Fare","4.0","0.0","40.665447","-73.8894","POINT (-73.8894 40.665447)"
"2021-12-24T20:00:00.000","subway","113","Knickerbocker Av (M)","Brooklyn","metrocard","Metrocard - Full Fare","14.0","0.0","40.698666","-73.91971","POINT (-73.91971 40.698666)"
"2021-12-24T12:00:00.000","subway","255","169 St (F)","Queens","metrocard","Metrocard - Other","7.0","0.0","40.71047","-73.7936","POINT (-73.7936 40.71047)"
"2021-12-24T03:00:00.000","subway","254","Jamaica-179 St (F)","Queens","metrocard","Metrocard - Unlimited 30-Day","5.0","0.0","40.712646","-73.78381","POINT (-73.78381 40.712646)"
"2021-12-24T07:00:00.000","subway","358","Newkirk Av-Little Haiti (2,5)","Brooklyn","metrocard","Metrocard - Fair Fare","9.0","0.0","40.63997","-73.94841","POINT (-73.94841 40.63997)"
"2021-12-24T17:00:00.000","subway","377","3 Av-138 St (6)","Bronx","metrocard","Metrocard - Full Fare","32.0","2.0","40.810474","-73.92614","POINT (-73.92614 40.810474)"
"2021-12-24T05:00:00.000","subway","432","Prospect Av (2,5)","Bronx","omny","OMNY - Full Fare","12.0","0.0","40.819584","-73.90177","POINT (-73.90177 40.819584)"
"2021-12-24T10:00:00.000","subway","376","Brook Av (6)","Bronx","metrocard","Metrocard - Unlimited 7-Day","33.0","0.0","40.807568","-73.91924","POINT (-73.91924 40.807568)"
"2021-12-24T20:00:00.000","subway","452","90 St-Elmhurst Av (7)","Queens","metrocard","Metrocard - Students","5.0","0.0","40.74841","-73.87661","POINT (-73.87661 40.74841)"
"2021-12-24T17:00:00.000","subway","333","Wall St (2,3)","Manhattan","metrocard","Metrocard - Seniors & Disability","2.0","0.0","40.70682","-74.0091","POINT (-74.0091 40.70682)"
"2021-12-24T21:00:00.000","subway","336","Hoyt St (2,3)","Brooklyn","metrocard","Metrocard - Fair Fare","2.0","0.0","40.690544","-73.98506","POINT (-73.98506 40.690544)"
"2021-12-24T15:00:00.000","subway","224","57 St (F)","Manhattan","metrocard","Metrocard - Seniors & Disability","14.0","0.0","40.763973","-73.97745","POINT (-73.97745 40.763973)"
"2021-12-24T17:00:00.000","subway","50","Avenue M (Q)","Brooklyn","metrocard","Metrocard - Full Fare","41.0","8.0","40.61762","-73.9594","POINT (-73.9594 40.61762)"
"2021-12-24T21:00:00.000","subway","277","7 Av (E,B,D)","Manhattan","metrocard","Metrocard - Full Fare","38.0","0.0","40.762863","-73.981636","POINT (-73.981636 40.762863)"
"2021-12-24T12:00:00.000","subway","48","Avenue H (Q)","Brooklyn","omny","OMNY - Full Fare","16.0","0.0","40.62927","-73.96164","POINT (-73.96164 40.62927)"
"2021-12-24T16:00:00.000","subway","37","77 St (R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","12.0","0.0","40.62974","-74.02551","POINT (-74.02551 40.62974)"
"2021-12-24T08:00:00.000","subway","162","50 St (C,E)","Manhattan","metrocard","Metrocard - Seniors & Disability","6.0","1.0","40.762455","-73.985985","POINT (-73.985985 40.762455)"
"2021-12-24T09:00:00.000","subway","1","Astoria-Ditmars Blvd (N,W)","Queens","metrocard","Metrocard - Unlimited 7-Day","50.0","0.0","40.775036","-73.91203","POINT (-73.91203 40.775036)"
"2021-12-24T23:00:00.000","subway","449","111 St (7)","Queens","omny","OMNY - Full Fare","9.0","0.0","40.75173","-73.85533","POINT (-73.85533 40.75173)"
"2021-12-24T11:00:00.000","subway","376","Brook Av (6)","Bronx","metrocard","Metrocard - Unlimited 30-Day","13.0","0.0","40.807568","-73.91924","POINT (-73.91924 40.807568)"
"2021-12-24T10:00:00.000","subway","113","Knickerbocker Av (M)","Brooklyn","metrocard","Metrocard - Seniors & Disability","3.0","0.0","40.698666","-73.91971","POINT (-73.91971 40.698666)"
"2021-12-24T16:00:00.000","subway","213","Fordham Rd (B,D)","Bronx","metrocard","Metrocard - Students","21.0","2.0","40.861298","-73.89775","POINT (-73.89775 40.861298)"
"2021-12-24T12:00:00.000","subway","10","49 St (N,R,W)","Manhattan","metrocard","Metrocard - Other","16.0","0.0","40.7599","-73.98414","POINT (-73.98414 40.7599)"
"2021-12-24T06:00:00.000","subway","353","President St-Medgar Evers College (2,5)","Brooklyn","metrocard","Metrocard - Students","3.0","0.0","40.667885","-73.95068","POINT (-73.95068 40.667885)"
"2021-12-24T16:00:00.000","subway","224","57 St (F)","Manhattan","metrocard","Metrocard - Fair Fare","10.0","0.0","40.763973","-73.97745","POINT (-73.97745 40.763973)"
"2021-12-24T12:00:00.000","subway","339","Bergen St (2,3)","Brooklyn","metrocard","Metrocard - Full Fare","28.0","1.0","40.68083","-73.9751","POINT (-73.9751 40.68083)"
"2021-12-24T06:00:00.000","subway","471","34 St-Hudson Yards (7)","Manhattan","omny","OMNY - Full Fare","12.0","0.0","40.755882","-74.00191","POINT (-74.00191 40.755882)"
"2021-12-24T20:00:00.000","subway","47","Newkirk Plaza (B,Q)","Brooklyn","metrocard","Metrocard - Students","2.0","0.0","40.635082","-73.96279","POINT (-73.96279 40.635082)"
"2021-12-24T13:00:00.000","subway","208","Beach 25 St (A)","Queens","omny","OMNY - Full Fare","5.0","0.0","40.600067","-73.76135","POINT (-73.76135 40.600067)"
"2021-12-24T11:00:00.000","subway","100","Hewes St (M,J)","Brooklyn","metrocard","Metrocard - Students","3.0","0.0","40.70687","-73.95343","POINT (-73.95343 40.70687)"
"2021-12-24T19:00:00.000","subway","165","23 St (C,E)","Manhattan","metrocard","Metrocard - Students","9.0","0.0","40.745907","-73.99804","POINT (-73.99804 40.745907)"
"2021-12-24T00:00:00.000","subway","373","E 149 St (6)","Bronx","metrocard","Metrocard - Seniors & Disability","1.0","0.0","40.81212","-73.9041","POINT (-73.9041 40.81212)"
"2021-12-24T11:00:00.000","subway","426","E 180 St (2,5)","Bronx","metrocard","Metrocard - Unlimited 30-Day","17.0","0.0","40.841892","-73.87349","POINT (-73.87349 40.841892)"
"2021-12-24T10:00:00.000","subway","447","Flushing-Main St (7)","Queens","metrocard","Metrocard - Fair Fare","41.0","12.0","40.7596","-73.83003","POINT (-73.83003 40.7596)"
"2021-12-24T18:00:00.000","subway","158","86 St (C,B)","Manhattan","metrocard","Metrocard - Students","2.0","0.0","40.78587","-73.96892","POINT (-73.96892 40.78587)"
"2021-12-24T17:00:00.000","subway","356","Church Av (2,5)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","42.0","0.0","40.650845","-73.94958","POINT (-73.94958 40.650845)"
"2021-12-24T22:00:00.000","subway","352","New Lots Av (3)","Brooklyn","omny","OMNY - Full Fare","7.0","0.0","40.666237","-73.88408","POINT (-73.88408 40.666237)"
"2021-12-24T07:00:00.000","subway","48","Avenue H (Q)","Brooklyn","metrocard","Metrocard - Students","2.0","0.0","40.62927","-73.96164","POINT (-73.96164 40.62927)"
"2021-12-24T11:00:00.000","subway","225","47-50 Sts-Rockefeller Ctr (B,D,F,M)","Manhattan","metrocard","Metrocard - Seniors & Disability","24.0","1.0","40.758663","-73.98133","POINT (-73.98133 40.758663)"
"2021-12-24T16:00:00.000","subway","209","Far Rockaway-Mott Av (A)","Queens","metrocard","Metrocard - Seniors & Disability","3.0","0.0","40.603996","-73.7554","POINT (-73.7554 40.603996)"
"2021-12-24T20:00:00.000","subway","256","Parsons Blvd (F)","Queens","metrocard","Metrocard - Unlimited 7-Day","17.0","0.0","40.707565","-73.80333","POINT (-73.80333 40.707565)"
"2021-12-24T19:00:00.000","subway","37","77 St (R)","Brooklyn","omny","OMNY - Full Fare","15.0","2.0","40.62974","-74.02551","POINT (-74.02551 40.62974)"
"2021-12-24T05:00:00.000","subway","337","Nevins St (2,3,4,5)","Brooklyn","metrocard","Metrocard - Full Fare","3.0","0.0","40.688248","-73.98049","POINT (-73.98049 40.688248)"
